ts,explorer_validators,kobe_running_bam,in_both,only_explorer,only_kobe,disputed_stake_sol,kobe_total_validators,chain_validators,onchain_matched,stake_reported_sol,stake_onchain_sol,stake_abs_diff_sol,stake_max_rel_pct,stake_median_rel_pct,bam_headline_stake_sol,bam_headline_share_pct,bam_share_reported_pct,bam_share_onchain_pct
2026-08-11T17:38:21Z,375,373,373,2,0,243655.91,667,690,375,142248693.83,142248693.76,0.07,0.0024,0.0000,142248693.76,32.7257,32.7124,32.7124
2026-08-11T17:53:25Z,374,373,373,1,0,174.80,667,689,374,142005212.72,142005212.65,0.07,0.0024,0.0000,142005212.65,32.6697,32.6646,32.6646
2026-08-11T18:08:57Z,373,373,371,2,2,828478.20,667,689,373,141663871.54,141663871.47,0.07,0.0024,0.0000,141663871.47,32.5911,32.5861,32.5861
2026-08-11T18:24:32Z,372,373,371,1,2,368447.65,667,690,372,141420390.43,141420390.36,0.07,0.0024,0.0000,141420390.36,32.5351,32.5220,32.5220
2026-08-11T18:39:34Z,374,373,372,2,1,346909.05,667,690,374,141648435.31,141648435.24,0.07,0.0024,0.0000,141648435.24,32.5876,32.5744,32.5744
2026-08-11T18:54:55Z,375,373,371,4,2,1056523.08,667,690,375,142108465.86,142108465.80,0.06,0.0024,0.0000,142108465.80,32.6934,32.6802,32.6802
2026-08-11T19:10:52Z,375,374,374,1,0,174.80,667,690,375,142108465.86,142108465.80,0.06,0.0024,0.0000,142108465.80,32.6934,32.6802,32.6802
2026-08-11T19:26:23Z,375,374,374,1,0,174.80,667,690,375,142108465.86,142108465.80,0.06,0.0024,0.0000,142108465.80,32.6934,32.6802,32.6802
2026-08-11T19:41:45Z,375,376,374,1,2,368447.65,667,690,375,142108465.86,142108465.80,0.06,0.0024,0.0000,142108465.80,32.6934,32.6802,32.6802
2026-08-11T19:56:49Z,375,376,374,1,2,368447.65,667,690,375,142108465.86,142108465.80,0.06,0.0024,0.0000,142108465.80,32.6934,32.6802,32.6802
2026-08-11T20:12:38Z,373,376,372,1,4,650019.97,667,690,373,141826893.53,141826893.47,0.06,0.0024,0.0000,141826893.47,32.6287,32.6154,32.6154
2026-08-11T20:28:11Z,374,372,372,2,0,243655.91,667,689,374,142070374.64,142070374.58,0.06,0.0024,0.0000,142070374.58,32.6847,32.6961,32.6961
2026-08-11T20:43:58Z,373,372,372,1,0,174.80,667,688,373,141826893.53,141826893.47,0.06,0.0024,0.0000,141826893.47,32.6287,32.6485,32.6485
2026-08-11T20:59:30Z,375,372,372,3,0,368447.65,667,690,375,142195166.38,142195166.32,0.06,0.0024,0.0000,142195166.32,32.7134,32.7001,32.7001
2026-08-11T21:15:01Z,373,372,372,1,0,174.80,667,690,373,141826893.53,141826893.47,0.06,0.0024,0.0000,141826893.47,32.6287,32.6154,32.6154
2026-08-11T21:30:35Z,374,372,371,3,1,481981.02,667,690,374,142081633.01,142081632.94,0.07,0.0024,0.0000,142081632.94,32.6873,32.6740,32.6740
2026-08-11T21:46:21Z,372,372,370,2,2,336765.81,667,689,372,141686540.99,141686540.92,0.07,0.0024,0.0000,141686540.92,32.5964,32.6303,32.6303
2026-08-11T22:01:53Z,372,370,369,3,1,363438.31,667,689,372,141741687.58,141741687.52,0.06,0.0024,0.0000,141741687.52,32.6090,32.6058,32.6058
2026-08-11T22:17:24Z,372,370,369,3,1,371924.61,667,690,372,141750173.88,141750173.82,0.06,0.0024,0.0000,141750173.82,32.6110,32.5978,32.5978
2026-08-11T22:32:54Z,372,370,369,3,1,324242.65,667,688,371,141675689.51,141675689.44,0.07,0.0024,0.0000,141741687.52,32.6090,32.5956,32.5956
2026-08-11T22:48:26Z,373,370,370,3,0,179706.24,667,690,373,141863707.25,141863707.19,0.06,0.0024,0.0000,141863707.19,32.6371,32.6239,32.6239
2026-08-11T23:04:01Z,374,372,372,2,0,124966.54,667,690,374,141993801.86,141993801.80,0.06,0.0024,0.0000,141993801.80,32.6670,32.6538,32.6538
2026-08-11T23:19:33Z,372,372,371,1,1,119011.04,667,690,372,141750173.88,141750173.82,0.06,0.0024,0.0000,141750173.82,32.6110,32.5978,32.5978
2026-08-11T23:35:21Z,374,373,373,1,0,174.80,668,690,374,142030459.69,142030459.62,0.07,0.0024,0.0000,142030459.62,32.6755,32.6623,32.6623
2026-08-11T23:51:13Z,374,373,371,3,2,637475.09,668,690,374,142107188.36,142107188.30,0.06,0.0024,0.0000,142107188.30,32.6931,32.6799,32.6799
2026-08-12T00:06:50Z,373,373,371,2,2,393993.98,668,690,373,141863707.25,141863707.19,0.06,0.0024,0.0000,141863707.19,32.6371,32.6239,32.6239
2026-08-12T00:22:15Z,373,373,372,1,1,113708.17,668,690,373,141993654.99,141993654.92,0.07,0.0024,0.0000,141993654.92,32.6670,32.6538,32.6538
2026-08-12T00:37:46Z,373,373,372,1,1,243655.91,668,689,373,141863707.25,141863707.19,0.06,0.0024,0.0000,141863707.19,32.6371,32.6309,32.6309
2026-08-12T00:53:17Z,373,372,371,2,1,272207.51,668,689,373,141857442.18,141857442.11,0.07,0.0024,0.0000,141857442.11,32.6357,32.6471,32.6471
2026-08-12T01:09:07Z,372,372,370,2,2,561312.04,668,689,372,141659584.49,141659584.43,0.06,0.0024,0.0000,141659584.43,32.5902,32.6016,32.6016
2026-08-12T01:25:00Z,374,372,372,2,0,113708.17,668,690,374,141988498.99,141988498.93,0.06,0.0024,0.0000,141988498.93,32.6658,32.6526,32.6526
2026-08-12T01:40:44Z,372,372,370,2,2,418305.95,668,690,372,141943796.69,141943796.63,0.06,0.0024,0.0000,141943796.63,32.6555,32.6423,32.6423
2026-08-12T01:56:16Z,374,372,372,2,0,113708.17,668,690,374,141988498.99,141988498.93,0.06,0.0024,0.0000,141988498.93,32.6658,32.6526,32.6526
2026-08-12T02:11:46Z,372,372,371,1,1,114357.36,668,689,372,141879472.43,141879472.36,0.07,0.0024,0.0000,141879472.36,32.6407,32.6361,32.6361
2026-08-12T02:27:19Z,374,372,371,3,1,481981.02,668,689,374,141988498.99,141988498.93,0.06,0.0024,0.0000,141988498.93,32.6658,32.6569,32.6569
2026-08-12T02:42:49Z,373,372,372,1,0,174.80,668,690,373,141993654.99,141993654.92,0.07,0.0024,0.0000,141993654.92,32.6670,32.6538,32.6538
2026-08-12T02:58:23Z,373,372,371,2,1,357189.28,668,689,373,141863707.25,141863707.19,0.06,0.0024,0.0000,141863707.19,32.6371,32.6297,32.6297
2026-08-12T03:13:53Z,371,373,370,1,3,447670.51,668,690,371,141659692.65,141659692.59,0.06,0.0024,0.0000,141659692.59,32.5902,32.5770,32.5770
2026-08-12T03:29:44Z,372,373,371,1,2,204189.40,668,690,372,141903173.76,141903173.69,0.07,0.0024,0.0000,141903173.69,32.6462,32.6330,32.6330
2026-08-12T03:45:14Z,371,370,370,1,0,174.80,668,690,371,141659692.65,141659692.59,0.06,0.0024,0.0000,141659692.59,32.5902,32.5770,32.5770
2026-08-12T04:16:33Z,104,370,102,2,268,91590447.10,668,628,104,50250585.41,50250585.36,0.05,0.0024,0.0000,50250585.36,11.5606,14.7359,14.7359
2026-08-12T04:32:03Z,354,370,349,5,21,5933269.59,668,687,352,135333092.70,135333092.64,0.06,0.0024,0.0000,137015761.14,31.5218,31.3044,31.3044
2026-08-12T04:47:09Z,367,370,364,3,6,1962541.48,668,690,367,140509839.08,140509839.03,0.05,0.0024,0.0000,140509839.03,32.3256,32.3126,32.3126
2026-08-12T05:02:14Z,368,368,367,1,1,100809.69,668,689,368,141055001.24,141055001.19,0.05,0.0024,0.0000,141055001.19,32.4511,32.4454,32.4454
2026-08-12T05:17:46Z,368,368,366,2,2,485247.17,668,688,368,141234009.16,141234009.11,0.05,0.0024,0.0000,141234009.11,32.4923,32.4915,32.4915
2026-08-12T05:33:16Z,371,369,369,2,0,102889.58,668,690,371,141550892.20,141550892.14,0.06,0.0024,0.0000,141550892.14,32.5652,32.5520,32.5520
2026-08-12T05:49:03Z,371,369,369,2,0,41599.62,668,690,371,141489602.24,141489602.18,0.06,0.0024,0.0000,141489602.18,32.5511,32.5379,32.5379
2026-08-12T06:04:34Z,372,369,368,4,1,555875.59,668,690,372,141776811.47,141776811.41,0.06,0.0024,0.0000,141776811.41,32.6171,32.6039,32.6039
2026-08-12T06:20:05Z,370,369,369,1,0,174.80,668,690,370,141376068.87,141376068.81,0.06,0.0024,0.0000,141376068.81,32.5249,32.5118,32.5118
2026-08-12T06:35:35Z,372,369,368,4,1,611110.14,668,690,372,141816202.21,141816202.15,0.06,0.0024,0.0000,141518174.34,32.5576,32.6130,32.6130
2026-08-12T06:51:15Z,370,369,368,2,1,422669.77,668,690,370,141197954.42,141197954.37,0.05,0.0024,0.0000,141197954.37,32.4840,32.4708,32.4708
2026-08-12T07:06:46Z,370,369,369,1,0,174.80,668,688,370,141393382.65,141393382.60,0.05,0.0024,0.0000,141393382.60,32.5289,32.5301,32.5301
2026-08-12T07:22:17Z,370,369,367,3,2,839261.51,668,687,370,141377418.32,141377418.26,0.06,0.0024,0.0000,141377418.26,32.5252,32.5505,32.5505
2026-08-12T07:37:53Z,372,369,369,3,0,401831.71,668,688,372,141795039.56,141795039.50,0.06,0.0024,0.0000,141795039.50,32.6213,32.6266,32.6266
2026-08-12T07:53:23Z,372,371,370,2,1,411735.99,668,689,372,141540090.95,141540090.89,0.06,0.0024,0.0000,141540090.89,32.5627,32.5909,32.5909
